Name,1-Methylnicotinamide,2-Aminoadipate,2-Hydroxyglutarate,2-Oxoglutarate,2-Oxoisocaproate,3-Hydroxybutyrate,3-Indoxylsulfate,4-Hydroxy-3-methoxymandelate,6-Hydroxynicotinate,Acetate,Acetoin,Alanine,Allantoin,Arabinose,Ascorbate,Aspartate,Benzoate,Betaine,Butanone,Butyrate,Choline,Citrate,Creatine,Creatinine,DSS (Chemical Shape Indicator),Dimethyl sulfone,Dimethylamine,Formate,Fucose,Fumarate,Gallate,Glucose,Glucuronate,Glutamine,Glycerol,Glycine,Guanidoacetate,Hippurate,Isobutyrate,Lactate,Malate,Maltose,Mannitol,Methanol,Methionine,Methylamine,Methylguanidine,Methylmalonate,Methylsuccinate,"NN-Dimethylglycine",N-Acetylaspartate,N-Methylhydantoin,N-Phenylacetylglycine,Nicotinamide N-oxide,O-Phosphocholine,Pantothenate,Phenol,Phenylacetate,Proline,Propionate,S-Sulfocysteine,Sarcosine,Serine,Succinate,Sucrose,Taurine,Threonine,Thymol,Trigonelline,Trimethylamine,Trimethylamine N-oxide,Tryptophan,Tyrosine,Uracil,Urea,Uridine,Valine,cis-Aconitate,trans-Aconitate
B6-ob_ex11,0.0153,0.1417,0.1841,0.356,0.0399,0.018,0.1647,0.0116,0.0369,0.023,0.0309,0.0251,0.4689,0.0195,0.0039,0.0564,0.009,0.0102,0.0242,0.0375,0.0076,1.6804,0.0475,0.0945,0.1002,0.0135,0.0428,0.0106,0.0622,0.0102,0.0071,0.2827,0.0642,0.1007,0.0733,0.0988,0.0375,0.1931,0.0086,0.0691,0.1761,0.0253,0.078,0.0161,0.0194,0.0415,0.0063,0.021,0.0106,0.0095,0.0512,0.0236,0.1144,0.012,0.0064,0.0242,0.0594,0.072,0.2043,0.013,0.0433,0.0047,0.1081,0.071,0.024,0.3115,0.0307,0.0104,0.0177,0.3062,0.0696,0.02,0.0584,0.0106,713.0561,0.0059,0.0169,0.1876,0.0606
B6-ob_ex12,0.0116,0.1532,0.2266,0.5004,0.0308,0.0177,0.2323,0.0255,0.0287,0.3427,0.0227,0.0316,0.7196,0.0202,0.0044,0.052,0.0078,0.0169,0.0271,0.0784,0.0117,0.992,0.0573,0.0885,0.1004,0.0199,0.0433,0.006,0.0635,0.0081,0.0055,0.2225,0.067,0.1364,0.084,0.116,0.0223,0.2623,0.0068,0.148,0.2623,0.024,0.0927,0.018,0.0121,0.0507,0.0138,0.0213,0.0103,0.0064,0.0279,0.022,0.1115,0.0136,0.0048,0.024,0.0234,0.0619,0.1405,0.0742,0.0661,0.0067,0.1239,0.0654,0.0263,0.1664,0.0283,0.0113,0.02,0.4984,0.1055,0.0223,0.0822,0.0092,167.0843,0.0052,0.013,0.1419,0.0796
B6-ob_ex13,0.0062,0.1614,0.2192,0.411,0.0278,0.0152,0.096,0.0214,0.0134,0.2703,0.019,0.0243,0.5155,0.0055,0.0036,0.0462,0.0093,0.0165,0.0149,0.0503,0.0097,0.7697,0.0625,0.0717,0.1001,0.0126,0.0442,0.0064,0.0471,0.0135,0.0059,0.1271,0.0287,0.1027,0.093,0.0873,0.0253,0.1256,0.0073,0.1396,0.193,0.0289,0.0823,0.0139,0.0175,0.0302,0.0127,0.0138,0.0144,0.0057,0.0346,0.0182,0.064,0.0108,0.0118,0.0273,0.0135,0.0483,0.109,0.0575,0.018,0.0157,0.16,0.0944,0.0207,0.2486,0.025,0.0103,0.0174,0.0917,0.0223,0.0172,0.0364,0.012,203.733,0.0056,0.0107,0.1509,0.0343
BTBR-lean_ex14,0.0073,0.1743,0.2193,0.3776,0.058,0.0262,0.0432,0.0188,0.0268,0.0651,0.029,0.0308,0.5267,0.039,0.0171,0.0617,0.0175,0.014,0.0344,0.0567,0.0064,0.6561,0.0457,0.1051,0.0994,0.0182,0.0364,0.0094,0.0644,0.0093,0.0065,0.1717,0.0663,0.1307,0.0771,0.0582,0.0178,0.0927,0.0124,0.0533,0.173,0.0383,0.075,0.0144,0.0219,0.0449,0.0089,0.0271,0.0106,0.0086,0.0362,0.0164,0.063,0.0196,0.0105,0.0336,0.0255,0.0452,0.1175,0.0324,0.0395,0.0056,0.0985,0.0765,0.0191,0.4773,0.0344,0.0131,0.0186,0.0847,0.0279,0.0162,0.0422,0.0097,109.5176,0.009,0.0155,0.1154,0.0271
BTBR-lean_ex15,0.0035,0.1452,0.1967,1.1283,0.089,0.0168,0.0471,0.0104,0.0105,0.0211,0.0326,0.0244,0.3831,0.0128,0.0103,0.0446,0.0092,0.0255,0.0313,0.0453,0.0105,1.6864,0.0717,0.1191,0.0997,0.0167,0.0192,0.0089,0.0317,0.0216,0.0045,0.1072,0.0419,0.1109,0.09,0.0766,0.0235,0.0438,0.0115,0.0344,0.3035,0.0173,0.0819,0.0181,0.049,0.0417,0.0067,0.0167,0.0191,0.0112,0.0247,0.0336,0.087,0.0048,0.0071,0.0289,0.018,0.0477,0.1145,0.0139,0.0354,0.0039,0.0937,0.0611,0.0193,0.5289,0.0271,0.0156,0.0184,0.0969,0.0198,0.0097,0.0302,0.0095,504.3215,0.0052,0.0148,0.1633,0.0731
BTBR-lean_ex16,0.0086,0.1511,0.2459,0.6439,0.0929,0.0281,0.0622,0.0207,0.0182,0.0895,0.029,0.0392,0.4818,0.0304,0.0114,0.0766,0.0227,0.0156,0.0491,0.0673,0.0106,0.8842,0.1484,0.1266,0.099,0.0293,0.0583,0.0143,0.0832,0.0124,0.008,0.1431,0.0653,0.1562,0.0995,0.083,0.0449,0.1219,0.0165,0.1197,0.2826,0.032,0.094,0.019,0.0591,0.0547,0.0102,0.0285,0.0135,0.0076,0.0493,0.0228,0.1058,0.0265,0.0183,0.0469,0.044,0.0631,0.1573,0.0348,0.0385,0.0079,0.1387,0.1659,0.028,0.7475,0.0408,0.0217,0.028,0.2168,0.0484,0.0343,0.0598,0.0164,143.0494,0.0184,0.0191,0.1384,0.0602
BTBR-lean_ex17,0.0161,0.1798,0.2804,0.4641,0.0947,0.0347,0.0747,0.0378,0.031,0.1586,0.0326,0.0477,0.6763,0.0566,0.023,0.1154,0.0233,0.0253,0.0679,0.0821,0.0131,0.7811,0.2102,0.1502,0.0994,0.0089,0.0507,0.0303,0.0885,0.006,0.011,0.1316,0.0787,0.1337,0.085,0.1149,0.0364,0.1375,0.0092,0.0711,0.1819,0.0548,0.1141,0.0221,0.0424,0.0648,0.0167,0.0229,0.039,0.0126,0.072,0.0252,0.134,0.0381,0.0287,0.0424,0.0472,0.0911,0.2452,0.0536,0.089,0.0097,0.1986,0.1892,0.0546,0.9598,0.052,0.0266,0.0387,0.266,0.0438,0.0269,0.0688,0.0256,911.1304,0.0142,0.0291,0.2207,0.1033
BTBR-lean_ex18,0.0335,0.3231,0.5754,0.9598,0.163,0.0668,0.1474,0.0658,0.0812,0.1223,0.0724,0.0724,1.2952,0.1274,0.1009,0.1935,0.0394,0.022,0.1441,0.173,0.0227,0.7834,0.1601,0.2173,0.0994,0.0284,0.065,0.0556,0.1261,0.0438,0.022,0.295,0.1316,0.4205,0.1519,0.1194,0.0805,0.0551,0.0387,0.1651,0.4243,0.0803,0.1434,0.0248,0.0587,0.1186,0.024,0.0619,0.0287,0.0312,0.0657,0.0525,0.2156,0.0739,0.0249,0.1314,0.0587,0.1017,0.2798,0.0702,0.1504,0.0217,0.3112,0.1239,0.0878,1.261,0.1002,0.0345,0.0574,0.4975,0.0742,0.0453,0.0897,0.0498,1402.7516,0.0359,0.05,0.2566,0.059
BTBR-ob_ex19,0.012,0.0805,0.1063,0.5674,0.0395,0.0139,0.0273,0.0086,0.0157,0.0629,0.0135,0.0217,0.3044,0.2039,0.009,0.038,0.0087,0.0174,0.0151,0.0173,0.0074,0.6315,0.0203,0.0578,0.0987,0.0097,0.0109,0.0192,0.0307,0.0346,0.0026,53.3544,0.1472,0.0617,0.1529,0.1832,0.0536,0.0621,0.0039,0.0629,0.2178,0.0464,0.1994,0.0273,0.0063,0.0252,0.0029,0.0107,0.0073,0.0037,0.0142,0.0182,0.0537,0.0019,0.0253,0.0106,0.0096,0.032,0.1249,0.0081,0.0437,0.0036,0.1207,0.0333,0.0443,0.2433,0.0164,0.0065,0.0178,0.0257,0.0569,0.0046,0.017,0.008,658.6616,0.0035,0.0091,0.0668,0.0942
BTBR-ob_ex20,0.0138,0.0693,0.1083,0.5672,0.0376,0.0139,0.0217,0.0097,0.0079,0.024,0.0162,0.0211,0.2344,0.239,0.012,0.0341,0.0069,0.0412,0.0127,0.0231,0.0028,0.9949,0.0315,0.0675,0.0983,0.008,0.0177,0.0113,0.0391,0.0255,0.0045,60.4537,0.0605,0.0941,0.2183,0.2463,0.0633,0.0833,0.0041,0.036,0.1956,0.0271,0.3478,0.0372,0.0113,0.029,0.0054,0.0162,0.0089,0.0044,0.0167,0.0121,0.0575,0.0027,0.0057,0.0136,0.0036,0.0231,0.1277,0.0112,0.0353,0.0017,0.2015,0.0318,0.0121,0.2991,0.0219,0.0072,0.0138,0.0154,0.0514,0.0049,0.0182,0.0055,817.926,0.003,0.0108,0.0845,0.0174
BTBR-ob_ex21,0.006,0.0588,0.0441,0.5592,0.0242,0.0066,0.007,0.0072,0.004,0.0984,0.0117,0.0122,0.0904,0.0396,0.005,0.0247,0.0045,0.0133,0.006,0.0101,0.0017,0.4533,0.0329,0.0327,0.0983,0.0079,0.0181,0.0336,0.0146,0.028,0.0013,48.567,0.0251,0.0644,0.1624,0.1551,0.0909,0.0672,0.0022,0.0565,0.1596,0.0123,0.2587,0.0187,0.0041,0.0166,0.004,0.0072,0.0033,0.0041,0.0185,0.0259,0.023,0.0011,0.0029,0.0071,0.0052,0.0104,0.0357,0.0153,0.0062,0.0036,0.067,0.0261,0.0159,0.1675,0.0147,0.0043,0.0095,0.0042,0.0414,0.0059,0.0097,0.0052,572.1649,0.0012,0.0067,0.0381,0.0527
BTBR-ob_ex22,0.0026,0.0489,0.0734,0.3399,0.0174,0.0052,0.0072,0.0066,0.0042,0.0282,0.0057,0.0087,0.0795,0.0391,0.004,0.013,0.0029,0.0142,0.0052,0.0071,0.0037,0.5297,0.0184,0.0268,0.1006,0.0061,0.0106,0.0204,0.0146,0.0231,0.0033,45.1752,0.0177,0.0363,0.1784,0.1382,0.0878,0.0439,0.0017,0.056,0.155,0.0164,0.3209,0.0226,0.0019,0.0154,0.0016,0.0062,0.0019,0.0031,0.0074,0.0121,0.0165,0.0009,0.0025,0.0056,0.017,0.0075,0.0393,0.0072,0.0044,0.0009,0.0202,0.0201,0.0128,0.173,0.0071,0.0033,0.006,0.002,0.021,0.0026,0.013,0.0039,450.2154,0.0009,0.0053,0.0261,0.0287
BTBR-ob_ex23,0.0078,0.0489,0.0756,0.256,0.0209,0.0074,0.021,0.0123,0.0116,0.0144,0.01,0.0137,0.2242,0.0934,0.0091,0.0132,0.0067,0.013,0.0074,0.0085,0.0022,0.9075,0.0208,0.0392,0.0989,0.0083,0.0088,0.0086,0.0164,0.0212,0.0061,53.072,0.0391,0.0592,0.1397,0.1579,0.0306,0.0738,0.002,0.0149,0.1047,0.0183,0.2123,0.0214,0.0053,0.0219,0.0033,0.0074,0.0032,0.0028,0.0184,0.0105,0.0326,0.003,0.0255,0.0061,0.0115,0.0172,0.0856,0.006,0.0167,0.0009,0.1329,0.0083,0.0161,0.1365,0.011,0.0053,0.0088,0.0054,0.02,0.007,0.0178,0.0097,222.6365,0.0045,0.0068,0.0329,0.0071
BTBR-ob_ex24,0.0181,0.1109,0.1509,0.9705,0.0507,0.0197,0.0674,0.0175,0.0152,0.1021,0.0192,0.0338,0.5936,0.2032,0.009,0.075,0.0283,0.05,0.0157,0.0588,0.0015,1.2356,0.0733,0.0817,0.0995,0.0179,0.078,0.0239,0.055,0.0433,0.0087,83.678,0.1517,0.1319,0.3095,0.2482,0.052,0.2201,0.0047,0.0432,0.2969,0.0265,0.2251,0.064,0.0165,0.126,0.0125,0.0203,0.0108,0.0048,0.0316,0.0286,0.0948,0.0036,0.0187,0.013,0.0146,0.0304,0.1738,0.0308,0.0106,0.0097,0.1717,0.0603,0.0293,0.2674,0.0261,0.0096,0.023,0.0349,0.0759,0.0089,0.0498,0.0163,685.6824,0.0057,0.0131,0.0644,0.0706
